County,DemVote,LibVote,OthVote,RepVote,AllVote
OR@CURRY,5220,,337,7049,12606
OR@DESCHUTES,57865,,3142,46886,107893
OR@DOUGLAS,16935,,1382,34523,52840
OR@GILLIAM,339,,15,626,980
OR@GRANT,1066,,113,2935,4114
OR@HARNEY,972,,89,2683,3744
OR@HOOD RIVER,7002,,348,3377,10727
OR@JACKSON,48071,,2879,52714,103664
OR@JEFFERSON,3597,,220,6083,9900
OR@JOSEPHINE,15396,,1138,25948,42482
OR@KLAMATH,8918,,755,20088,29761
OR@LAKE,858,,91,2999,3948
OR@LANE,110577,,5870,65606,182053
OR@LINCOLN,15283,,826,10011,26120
OR@LINN,22041,,1971,36740,60752
OR@MALHEUR,2336,,258,6469,9063
OR@MARION,60614,,4276,65606,130496
OR@MORROW,1159,,96,2786,4041
OR@MULTNOMAH,286167,,14462,62324,362953
OR@POLK,18920,,1290,20746,40956
OR@SHERMAN,253,,11,754,1018
OR@TILLAMOOK,7176,,372,6909,14457
OR@UMATILLA,7718,,618,16502,24838
OR@UNION,3902,,270,8216,12388
OR@WALLOWA,1521,,99,2917,4537
OR@WASCO,5382,,351,5562,11295
OR@WASHINGTON,160858,,9055,83146,253059
OR@WHEELER,237,,24,546,807
OR@YAMHILL,21921,,1590,24849,48360
PA@ADAMS,16096,704,580,29039,46419
PA@ALLEGHENY,363873,5190,4014,200632,573709
PA@ARMSTRONG,8065,465,308,19575,28413
PA@BEAVER,32692,1143,836,38772,73443
PA@BEDFORD,3796,261,230,17954,22241
PA@BERKS,71349,3315,2141,78019,154824
PA@BLAIR,14763,627,616,34214,50220
PA@BRADFORD,6632,450,366,16033,23481
PA@BUCKS,164536,4633,3802,141340,314311
PA@BUTLER,33921,1346,900,57168,93335
PA@CAMBRIA,18849,868,784,35847,56348
PA@CAMERON,547,46,46,1247,1886
PA@CARBON,9682,559,332,15659,26232
PA@CENTRE,32597,834,728,27902,62061
PA@CHESTER,147559,3586,2798,104020,257963
PA@CLARION,4327,238,186,10620,15371
PA@CLEARFIELD,8533,489,429,21948,31399
PA@CLINTON,4750,219,257,8791,14017
PA@COLUMBIA,9023,518,374,14830,24745
PA@CRAWFORD,11081,575,385,20992,33033
PA@CUMBERLAND,53278,1783,1203,59663,115927
PA@DAUPHIN,61599,1503,1203,50141,114446
PA@DELAWARE,157599,3454,2292,87322,250667
PA@ELK,4066,225,200,9128,13619
PA@ERIE,56404,1554,1269,46507,105734
PA@FAYETTE,17731,438,421,28234,46824
PA@FOREST,694,27,27,1434,2182
PA@FRANKLIN,18718,845,838,44819,65220
PA@FULTON,953,74,48,5171,6246
PA@GREENE,4394,160,189,8348,13091
PA@HUNTINGDON,4665,286,278,13035,18264
PA@INDIANA,11218,398,370,20769,32755
PA@JEFFERSON,4135,293,219,13139,17786
PA@JUNIATA,2111,176,176,7265,9728
PA@LACKAWANNA,50489,1020,900,36534,88943
PA@LANCASTER,94632,3272,1846,124798,224548
PA@LAWRENCE,13758,511,406,21531,36206
PA@LEBANON,19695,1107,666,35023,56491
PA@LEHIGH,73096,2269,1717,59219,136301
PA@LUZERNE,51504,1662,1179,61978,116323
PA@LYCOMING,13573,882,607,31171,46233
PA@MCKEAN,4135,214,226,10076,14651
PA@MERCER,17080,673,550,27049,45352
PA@MIFFLIN,3965,278,279,12263,16785
PA@MONROE,30251,989,744,26746,58730
PA@MONTGOMERY,260207,5416,4254,143077,412954
PA@MONTOUR,3213,154,138,4328,7833
PA@NORTHAMPTON,66565,1949,1613,59860,129987
PA@NORTHUMBERLAND,10812,583,508,20992,32895
PA@PERRY,5646,392,237,13956,20231
PA@PHILADELPHIA,412841,3718,4184,78408,499151
PA@PIKE,9821,293,290,14792,25196
PA@POTTER,1415,120,87,5486,7108
PA@SCHUYLKILL,17954,1214,952,35293,55413
PA@SNYDER,4220,239,220,10657,15336
PA@SOMERSET,7660,523,381,23964,32528
PA@SULLIVAN,869,65,59,2023,3016
PA@SUSQUEHANNA,5245,269,277,11520,17311
PA@TIOGA,4103,281,260,11988,16632
PA@UNION,6249,210,234,9401,16094
PA@VENANGO,6777,385,286,13406,20854
PA@WARREN,5420,243,254,10175,16092
PA@WASHINGTON,39684,1083,732,52337,93836
PA@WAYNE,7669,344,274,14425,22712
PA@WESTMORELAND,66240,2057,1474,98238,168009
PA@WYOMING,4059,215,167,7338,11779
PA@YORK,71929,2975,2016,109631,186551
SC@ABBEVILLE,4620,,,12518,17146
SC@AIKEN,34360,,,75098,109558
SC@ALLENDALE,2448,,,1170,3618
SC@ANDERSON,28782,,,97602,126528
SC@BAMBERG,4298,,,3640,7938
SC@BARNWELL,4906,,,7616,12530
SC@BEAUFORT,52674,,,90046,142810
SC@BERKELEY,53244,,,88814,142208
SC@CALHOUN,4318,,,6860,11198
SC@CHARLESTON,143966,,,159172,303598
SC@CHEROKEE,6710,,,25506,32240
SC@CHESTER,7242,,,11908,19158
SC@CHESTERFIELD,8468,,,16596,25076
SC@CLARENDON,9584,,,13224,22820
SC@COLLETON,9500,,,15494,25014
SC@DARLINGTON,15796,,,24232,40052
SC@DILLON,6840,,,8912,15764
SC@DORCHESTER,37286,,,61628,99024
SC@EDGEFIELD,5372,,,12216,17614
SC@FAIRFIELD,8888,,,7766,16668
SC@FLORENCE,34342,,,48234,82646
SC@GEORGETOWN,19770,,,34914,54714
SC@GREENVILLE,118218,,,235948,354798
SC@GREENWOOD,13440,,,30066,43530
SC@HAMPTON,5598,,,5650,11252
SC@HORRY,72396,,,193882,266410
SC@JASPER,9064,,,13108,22180
SC@KERSHAW,14718,,,29870,44616
SC@LANCASTER,22612,,,46318,68976
SC@LAURENS,10428,,,29008,39512
SC@LEE,6056,,,4418,10480
SC@LEXINGTON,57768,,,140226,198218
SC@MARION,8842,,,7904,16754
SC@MARLBORO,6338,,,6616,12972
SC@MCCORMICK,3496,,,5636,9132
SC@NEWBERRY,7550,,,17934,25504
SC@OCONEE,11950,,,45846,57838
SC@ORANGEBURG,32192,,,20048,52272
SC@PICKENS,16024,,,64056,80166
SC@RICHLAND,158260,,,93978,252710
SC@SALUDA,3210,,,9876,13090
SC@SPARTANBURG,57362,,,136060,193644
SC@SUMTER,30884,,,30200,61132
SC@UNION,5292,,,11982,17278
SC@WILLIAMSBURG,11390,,,8094,19488
SC@YORK,68730,,,122658,191530
SD@AURORA,170,66,,978,1214
SD@BEADLE,1214,182,,4441,5837
SD@BENNETT,295,41,,684,1020
SD@BON HOMME,453,91,,2010,2554
SD@BROOKINGS,3816,545,,7990,12351
SD@BROWN,3893,451,,9577,13921
SD@BRULE,428,97,,1573,2098
SD@BUFFALO,202,15,,173,390
SD@BUTTE,597,292,,3269,4158
SD@CAMPBELL,66,26,,571,663
SD@CHARLES MIX,666,100,,2323,3089
SD@CLARK,230,56,,1307,1593
SD@CLAY,2042,149,,2522,4713
SD@CODINGTON,2265,460,,8279,11004
SD@CORSON,334,57,,534,925
SD@CUSTER,1017,267,,3756,5040
SD@DAVISON,1524,266,,5420,7210
SD@DAY,602,116,,1796,2514
SD@DEUEL,346,92,,1548,1986
SD@DEWEY,720,70,,770,1560
SD@DOUGLAS,117,42,,1308,1467
SD@EDMUNDS,253,49,,1385,1687
SD@FALL RIVER,665,222,,2754,3641
SD@FAULK,120,47,,780,947
SD@GRANT,601,105,,2492,3198
SD@GREGORY,279,82,,1663,2024
SD@HAAKON,56,50,,864,970
SD@HAMLIN,366,123,,2214,2703
SD@HAND,198,70,,1242,1510
SD@HANSON,254,52,,1323,1629
SD@HARDING,22,41,,605,668
SD@HUGHES,1683,301,,5467,7451
SD@HUTCHINSON,417,106,,2619,3142
SD@HYDE,78,18,,484,580
SD@JACKSON,215,67,,617,899
SD@JERAULD,154,34,,676,864
SD@JONES,46,36,,383,465
SD@KINGSBURY,441,89,,2000,2530
SD@LAKE,1139,164,,3615,4918
SD@LAWRENCE,3061,646,,8439,12146
SD@LINCOLN,7365,912,,19703,27980
SD@LYMAN,290,65,,944,1299
SD@MARSHALL,545,62,,1272,1879
SD@MCCOOK,408,92,,2033,2533
SD@MCPHERSON,108,40,,954,1102
SD@MEADE,2134,702,,8934,11770
SD@MELLETTE,165,44,,415,624
SD@MINER,161,30,,813,1004
SD@MINNEHAHA,24772,2821,,46551,74144
SD@MOODY,694,109,,1839,2642
SD@OGLALA LAKOTA,1889,129,,422,2440
SD@PENNINGTON,12441,2314,,30398,45153
SD@PERKINS,133,95,,1141,1369
SD@POTTER,123,33,,937,1093
SD@ROBERTS,1000,147,,2384,3531
SD@SANBORN,154,27,,821,1002
SD@SPINK,546,91,,2027,2664
SD@STANLEY,245,64,,1138,1447
SD@SULLY,114,47,,622,783
SD@TODD,1308,101,,502,1911
SD@TRIPP,263,113,,1861,2237
SD@TURNER,602,168,,3078,3848
SD@UNION,1497,229,,4991,6717
SD@WALWORTH,301,92,,1645,2038
SD@YANKTON,2462,340,,6051,8853
SD@ZIEBACH,242,47,,389,678
UT@BEAVER,,33,443,1971,2447
UT@BOX ELDER,,463,5001,14434,19903
UT@CACHE,,1228,16166,24588,41990
UT@CARBON,,230,2233,4265,6729
UT@DAGGETT,,4,117,377,498
UT@DAVIS,,2897,54460,66385,123778
UT@DUCHESNE,,96,1015,5170,6283
UT@EMERY,,70,768,3269,4107
UT@GARFIELD,,33,557,1795,2385
UT@GRAND,,250,2492,1901,4643
UT@IRON,,437,3949,12923,17309
UT@JUAB,,70,775,3886,4731
UT@KANE,,104,1002,2553,3659
UT@MILLARD,,88,763,4279,5130
UT@MORGAN,,79,1413,3665,5157
UT@PIUTE,,6,85,692,783
UT@RICH,,14,215,844,1073
UT@SALT LAKE,,13902,222275,144931,381195
UT@SAN JUAN,,338,2104,3118,5562
UT@SANPETE,,150,2025,7829,10004
UT@SEVIER,,120,1244,6411,7775
UT@SUMMIT,,553,12496,7305,20358
UT@TOOELE,,809,7889,13371,22074
UT@UINTAH,,203,1725,8905,10834
UT@UTAH,,4949,74000,127096,206100
UT@WASATCH,,350,5586,7528,13464
UT@WASHINGTON,,1526,18555,49420,69501
UT@WAYNE,,26,432,1056,1514
UT@WEBER,,2756,32276,42007,77075
VT@,196575,,9445,80468,287386
WA@ADAMS,969,,12,3150,4131
WA@ASOTIN,3181,,13,5824,9018
WA@BENTON,25513,,128,50108,75749
WA@CHELAN,14373,,67,19833,34273
WA@CLALLAM,20784,,94,19401,40279
WA@CLARK,105058,,298,100260,205616
WA@COLUMBIA,592,,12,1575,2179
WA@COWLITZ,17439,,57,27446,44942
WA@DOUGLAS,5275,,36,10806,16117
WA@FERRY,1060,,7,2348,3415
WA@FRANKLIN,7022,,18,15174,22214
WA@GARFIELD,307,,3,977,1287
WA@GRANT,7221,,36,19655,26912
WA@GRAYS HARBOR,13600,,81,15718,29399
WA@ISLAND,23680,,102,19275,43057
WA@JEFFERSON,14970,,44,6185,21199
WA@KING,668692,,1943,220307,890942
WA@KITSAP,70939,,278,52134,123351
WA@KITTITAS,8318,,34,12446,20798
WA@KLICKITAT,4798,,18,6639,11455
WA@LEWIS,11263,,75,24654,35992
WA@LINCOLN,1423,,15,4716,6154
WA@MASON,13777,,86,15612,29475
WA@OKANOGAN,6644,,34,9926,16604
WA@PACIFIC,5771,,35,6137,11943
WA@PEND OREILLE,2032,,16,4739,6787
WA@PIERCE,175164,,959,156331,332454
WA@SAN JUAN,8254,,17,3055,11326
WA@SKAGIT,29316,,139,27394,56849
WA@SKAMANIA,2620,,8,3599,6227
WA@SNOHOMISH,184430,,864,135339,320633
WA@SPOKANE,100719,,443,120369,221531
WA@STEVENS,6073,,43,16803,22919
WA@THURSTON,73189,,347,52570,126106
WA@WAHKIAKUM,1007,,7,1551,2565
WA@WALLA WALLA,10039,,29,14192,24260
WA@WHATCOM,65950,,182,45038,111170
WA@WHITMAN,7824,,35,7848,15707
WA@YAKIMA,22541,,136,40188,62865
WI@ADAMS,3644,,38,6202,9884
WI@ASHLAND,3903,,9,3074,6986
WI@BARRON,7121,,30,12928,20079
WI@BAYFIELD,5183,,15,4082,9280
WI@BROWN,51421,,237,62221,113879
WI@BUFFALO,2201,,10,3907,6118
WI@BURNETT,2834,,,5362,8196
WI@CALUMET,9444,,41,15466,24951
WI@CHIPPEWA,11069,,60,17694,28823
WI@CLARK,3451,,22,8181,11654
WI@COLUMBIA,13410,,64,13899,27373
WI@CRAWFORD,3179,,13,3797,6989
WI@DANE,231818,,682,68228,300728
WI@DODGE,12830,,,25914,38744
WI@DOOR,8611,,26,8685,17322
WI@DOUGLAS,10270,,22,8373,18665
WI@DUNN,7876,,,10544,18420
WI@EAU CLAIRE,26529,,115,21208,47852
WI@FLORENCE,620,,,1898,2518
WI@FOND DU LAC,15982,,38,30584,46604
WI@FOREST,1371,,7,2785,4163
WI@GRANT,8671,,41,11397,20109
WI@GREEN,9097,,33,8350,17480
WI@GREEN LAKE,2626,,5,6061,8692
WI@IOWA,6514,,25,5082,11621
WI@IRON,1197,,4,2064,3265
WI@JACKSON,3288,,,4700,7988
WI@JEFFERSON,16141,,64,22402,38607
WI@JUNEAU,3782,,20,6944,10746
WI@KENOSHA,31371,,159,34393,65923
WI@KEWAUNEE,3273,,20,6627,9920
WI@LA CROSSE,30695,,115,24413,55223
WI@LAFAYETTE,2787,,,3779,6566
WI@LANGLADE,2818,,,6190,9008
WI@LINCOLN,4920,,29,8541,13490
WI@MANITOWOC,13288,,69,22561,35918
WI@MARATHON,23912,,103,37527,61542
WI@MARINETTE,5816,,42,12677,18535
WI@MARQUETTE,2589,,11,4753,7353
WI@MENOMINEE,962,,,264,1226
WI@MILWAUKEE,243638,,755,103666,348059
WI@MONROE,6461,,49,10801,17311
WI@OCONTO,5527,,47,13961,19535
WI@ONEIDA,8279,,41,11866,20186
WI@OUTAGAMIE,37922,,,47805,85727
WI@OZAUKEE,21954,,130,30209,52293
WI@PEPIN,1177,,1,2122,3300
WI@PIERCE,7709,,15,10313,18037
WI@POLK,7313,,2,13132,20447
WI@PORTAGE,17186,,50,16339,33575
WI@PRICE,2459,,4,4584,7047
WI@RACINE,37252,,218,44221,81691
WI@RICHLAND,3173,,12,3827,7012
WI@ROCK,36024,,160,28758,64942
WI@RUSK,2056,,2,4326,6384
WI@SAUK,14618,,,14289,28907
WI@SAWYER,3597,,13,4949,8559
WI@SHAWANO,5495,,2,12415,17912
WI@SHEBOYGAN,21350,,129,32058,53537
WI@ST. CROIX,17827,,52,26143,44022
WI@TAYLOR,2130,,,6527,8657
WI@TREMPEALEAU,4920,,13,7322,12255
WI@VERNON,6206,,18,6950,13174
WI@VILAS,4803,,24,8350,13177
WI@WALWORTH,17824,,112,27995,45931
WI@WASHBURN,3074,,4,5277,8355
WI@WASHINGTON,21566,,,52401,73967
WI@WAUKESHA,83408,,509,140156,224073
WI@WAUPACA,7653,,42,15525,23220
WI@WAUSHARA,3567,,3,7765,11335
WI@WINNEBAGO,34860,,185,39372,74417
WI@WOOD,12925,,64,20004,32993
