County,DemVote,LibVote,OthVote,RepVote,AllVote
OH@LORAIN,57191,,48,54488,111727
OH@LUCAS,78727,,29,53009,131765
OH@MADISON,4350,,7,9763,14120
OH@MAHONING,41421,,19,44397,85837
OH@MARION,6342,,3,12760,19105
OH@MEDINA,31979,,35,45960,77974
OH@MEIGS,1875,,4,5589,7468
OH@MERCER,3389,,3,14390,17782
OH@MIAMI,11993,,24,30114,42131
OH@MONROE,1378,,6,3479,4863
OH@MONTGOMERY,94512,,108,91382,186002
OH@MORGAN,1317,,,3494,4811
OH@MORROW,3303,,2,9985,13290
OH@MUSKINGUM,8638,,5,18664,27307
OH@NOBLE,1083,,4,3519,4606
OH@OTTAWA,7750,,2,10653,18405
OH@PAULDING,1587,,2,4873,6462
OH@PERRY,3342,,36,8557,11935
OH@PICKAWAY,5696,,7,13859,19562
OH@PIKE,2327,,,5488,7815
OH@PORTAGE,28175,,32,32274,60481
OH@PREBLE,3533,,5,12156,15694
OH@PUTNAM,2667,,5,12332,15004
OH@RICHLAND,12904,,16,28812,41732
OH@ROSS,7858,,6,14728,22592
OH@SANDUSKY,8177,,55,13076,21308
OH@SCIOTO,6411,,2,14656,21069
OH@SENECA,6322,,18,11618,17958
OH@SHELBY,3509,,7,14512,18028
OH@STARK,56215,,44,77287,133546
OH@SUMMIT,113111,,62,86724,199897
OH@TRUMBULL,33890,,28,39082,73000
OH@TUSCARAWAS,10267,,11,20072,30350
OH@UNION,9075,,4,16320,25399
OH@VAN WERT,2176,,,7959,10135
OH@VINTON,1028,,2,2986,4016
OH@WARREN,35970,,32,65370,101372
OH@WASHINGTON,6938,,1,15812,22751
OH@WAYNE,12832,,19,25599,38450
OH@WILLIAMS,3903,,5,8935,12843
OH@WOOD,23269,,25,24854,48148
OH@WYANDOT,2255,,3,5811,8069
OK@ADAIR,2537,150,218,7517,10422
OK@ALFALFA,413,54,61,2940,3468
OK@ATOKA,1229,77,111,6415,7832
OK@BEAVER,286,61,75,2949,3371
OK@BECKHAM,1782,146,142,8868,10938
OK@BLAINE,1199,86,131,4518,5934
OK@BRYAN,4822,331,370,17385,22908
OK@CADDO,3962,203,228,9711,14104
OK@CANADIAN,29713,1895,1821,66727,100156
OK@CARTER,6378,431,459,19498,26766
OK@CHEROKEE,10029,434,515,16050,27028
OK@CHOCTAW,1355,107,134,6480,8076
OK@CIMARRON,89,30,31,1310,1460
OK@CLEVELAND,79784,3358,3110,95868,182120
OK@COAL,654,44,63,3015,3776
OK@COMANCHE,16644,991,1092,28323,47050
OK@COTTON,562,77,97,2937,3673
OK@CRAIG,2020,119,159,6655,8953
OK@CREEK,10328,779,773,32727,44607
OK@CUSTER,3506,229,197,11048,14980
OK@DELAWARE,5662,297,408,20029,26396
OK@DEWEY,376,58,65,3022,3521
OK@ELLIS,343,33,39,2555,2970
OK@GARFIELD,7205,552,629,23981,32367
OK@GARVIN,3298,238,260,12426,16222
OK@GRADY,7442,555,505,27100,35602
OK@GRANT,478,63,61,2588,3190
OK@GREER,530,36,55,2060,2681
OK@HARMON,251,12,13,1020,1296
OK@HARPER,250,53,50,1980,2333
OK@HASKELL,1309,58,84,5320,6771
OK@HUGHES,1559,106,152,5269,7086
OK@JACKSON,1956,219,174,8634,10983
OK@JEFFERSON,531,57,69,2550,3207
OK@JOHNSTON,1003,74,112,4730,5919
OK@KAY,6473,412,465,17655,25005
OK@KINGFISHER,1435,154,155,8004,9748
OK@KIOWA,1111,42,50,3710,4913
OK@LATIMER,1237,89,121,4673,6120
OK@LE FLORE,4505,362,350,19009,24226
OK@LINCOLN,4354,378,410,17027,22169
OK@LOGAN,8533,658,551,24214,33956
OK@LOVE,970,70,100,4326,5466
OK@MAJOR,539,77,146,4616,5378
OK@MARSHALL,1620,102,131,6920,8773
OK@MAYES,5941,456,468,18404,25269
OK@MCCLAIN,6488,490,435,22627,30040
OK@MCCURTAIN,2671,196,272,13347,16486
OK@MCINTOSH,3479,155,198,9072,12904
OK@MURRAY,1806,148,141,6395,8490
OK@MUSKOGEE,11663,556,560,22767,35546
OK@NOBLE,1707,147,134,5627,7615
OK@NOWATA,1190,96,105,5242,6633
OK@OKFUSKEE,1515,94,118,4148,5875
OK@OKLAHOMA,214949,6864,6933,215112,443858
OK@OKMULGEE,6688,336,361,13858,21243
OK@OSAGE,9355,483,481,19843,30162
OK@OTTAWA,3753,244,307,11044,15348
OK@PAWNEE,2275,182,178,7461,10096
OK@PAYNE,17314,830,681,25346,44171
OK@PITTSBURG,5818,271,408,18862,25359
OK@PONTOTOC,6886,377,380,14714,22357
OK@POTTAWATOMIE,11610,696,782,28271,41359
OK@PUSHMATAHA,1064,72,94,5339,6569
